title;authors;country;genre;anthology;type;language_original;language_read;rating;dates_read
A History of Western Philosophy;Bertrand Russell;United Kingdom;Philosophy, History;No;Nonfiction;English;Chinese;10;2013
The Social Contract;Jean-Jacques Rousseau;France;Philosophy, Sociology;No;Nonfiction;French;Chinese;10;2013
Architect: The Work of the Pritzker Prize Laureates in Their Own Words;Grace Ong-Yan, Ruth A. Peltason;United States;Architecture;Yes;Nonfiction;English;English;;2013
Critique of Practical Reason;Immanuel Kant;Germany;Philosophy;No;Nonfiction;German;Chinese;;2013
Critique of Pure Reason;Immanuel Kant;Germany;Philosophy;No;Nonfiction;German;Chinese;;2013
The Republic;Plato;Greece;Classics, Philosophy;No;Nonfiction;Ancient Greek;Chinese;;2013
Living in Greece;René Stoeltie, Taschen, Barbara Stoeltie;Netherlands, Belgium;Architecture;No;Nonfiction;English;English;;2013
Baroque: Architecture, Sculpture, Painting;Achim Bednorz, Rolf Toman;Germany;Architecture, History;No;Nonfiction;English;English;;2013
To Kill a Mockingbird;Harper Lee;United States;Classics, Literary Fiction;No;Fiction;English;English;;2013
Critique of Judgment;Immanuel Kant;Germany;Philosophy;No;Nonfiction;German;Chinese;;2013
Emile: Or Treatise on Education;Jean-Jacques Rousseau;France;Philosophy;No;Nonfiction;French;Chinese;;2013
Romanesque: Architecture. Sculpture. Painting;Rolf Toman;Germany;Architecture, History;No;Nonfiction;English;English;;2013
The Art of Gothic: Architecture, Sculpture, Painting;Achim Bednorz, Rolf Toman;Germany;Architecture, History;No;Nonfiction;English;English;10;2013
Relativity: The Special and the General Theory;Albert Einstein;Germany;Science;No;Nonfiction;German;Chinese;;2013
The Universe in a Nutshell;Stephen Hawking;United Kingdom;Science;No;Nonfiction;English;Chinese;10;2013
Modern Architecture;Alan Colquhoun;United Kingdom;Architecture;No;Nonfiction;English;English;;2013
On the Revolutions of Heavenly Spheres;Nicolaus Copernicus;Poland;Science;No;Nonfiction;Latin;Chinese;;2013
Discourse on the Origin of Inequality;Jean-Jacques Rousseau;France;Philosophy;No;Nonfiction;French;Chinese;;2013
Guns, Germs, and Steel: The Fates of Human Societies;Jared Diamond;United States;Sociology;No;Nonfiction;English;Chinese;;2013
The Giver;Lois Lowry;United States;Science Fiction;No;Fiction;English;English;;2013
The Principia: Mathematical Principles of Natural Philosophy;Isaac Newton;United Kingdom;Science;No;Nonfiction;Latin;Chinese;;2013
Stacking the Deck: Secrets of the World's Master Card Architect;Bryan Berg;United States;Architecture;No;Nonfiction;English;English;;2013
Botany: A Study of Pure Curiosity;Jean-Jacques Rousseau;France;Science;No;Nonfiction;French;Chinese;;2013
Lord of the Flies;William Golding;United Kingdom;Classics, Young Adult, Literary Fiction;No;Fiction;English;English;;2013
King Lear;William Shakespeare;United Kingdom;Classics;No;Fiction;English;Chinese;;2014
The Spirit of the Chinese People;Hung-Ming Ku;China;Philosophy, Sociology;No;Nonfiction;English;English;;2014
Hamlet;William Shakespeare;United Kingdom;Classics;No;Fiction;English;Chinese;;2014
Ethics;Baruch Spinoza;Netherlands;Philosophy;No;Nonfiction;Latin;Chinese;;2014
Sophie's World;Jostein Gaarder;Norway;Philosophy, History, Literary Fiction;No;Fiction;Norwegian;Chinese;10;2014
Culture and Value;Ludwig Wittgenstein;Austria, United Kingdom;Philosophy;No;Nonfiction;German;Chinese;;2014
Fear and Trembling;Søren Kierkegaard;Denmark;Philosophy;No;Nonfiction;Danish;Chinese;;2014
'Nature and the Greeks' and 'Science and Humanism';Erwin Schrödinger;Austria;Philosophy;Yes;Nonfiction;English;English;;2014
The Stranger;Albert Camus;France;Classics, Literary Fiction;No;Fiction;French;English;;2014
What Is Life?;Erwin Schrödinger;Austria;Science, Philosophy;No;Nonfiction;German;English;;2014
