country;city;coordinates;start_date;end_date;notes
China;Wuxi;31.4910° N, 120.3124° E;1996-10-04;2007-08-01;
China;Qingdao;36.0662° N, 120.3830° E;2007-08-01;2007-08-03;check
China;Yantai;37.4635° N, 121.4480° E;2007-08-03;2007-08-06;check
China;Weihai;37.5135° N, 122.1217° E;2007-08-06;2007-08-09;check
China;Dalian;38.9140° N, 121.6147° E;2007-08-09;2007-08-12;check
China;Rizhao;35.4165° N, 119.5272° E;2007-08-12;2007-08-15;check
China;Xi’an;34.2658° N, 108.9541° E;2007-08-15;2007-08-18;check
China;Shangluo;33.8704° N, 109.9404° E;2007-08-18;2007-08-21;check
China;Hukou Falls National Park;36.1478° N, 110.4517° E;2007-08-21;2007-08-24;check
China;Harbin;45.7567° N, 126.6424° E;2007-08-24;2007-08-27;check
China;Hangzhou;30.2741° N, 120.1552° E;2007-08-27;2007-08-30;check
China;Suzhou;31.2983° N, 120.5832° E;2007-08-30;2007-09-01;check
China;Zhangjiajie;29.1167° N, 110.4784° E;2007-09-01;2007-09-04;check
China;Sanya;18.2525° N, 109.5121° E;2007-09-04;2007-09-07;check
China;Haikou;20.0442° N, 110.1999° E;2007-09-07;2007-09-09;check
China;Xiamen;24.4795° N, 118.0895° E;2007-09-09;2007-09-13;check
China;Changzhou;31.8107° N, 119.9736° E;2007-09-13;2007-09-14;check
China;Ningguo;30.3270° N, 118.7599° E;2007-09-14;2007-09-16;check
China;Beijing;39.9042° N, 116.4074° E;2007-09-16;2007-09-19;check
China;Shanghai;31.2304° N, 121.4737° E;2007-09-19;2007-09-22;check
China;Wuxi;31.4910° N, 120.3124° E;2007-09-22;2007-09-23;
Singapore;Singapore;1.3521° N, 103.8198° E;2007-09-23;2007-10-01;
China;Wuxi;31.4910° N, 120.3124° E;2007-10-01;2010-05-01;
China;Shanghai;31.2304° N, 121.4737° E;2010-05-01;2010-05-03;check
China;Wuxi;31.4910° N, 120.3124° E;2010-05-03;2014-01-23;
Hong Kong;Hong Kong;22.3193° N, 114.1694° E;2014-01-23;2014-01-25;
China;Wuxi;31.4910° N, 120.3124° E;2014-01-25;2014-06-05;
Hong Kong;Hong Kong;22.3193° N, 114.1694° E;2014-06-05;2014-06-07;
China;Wuxi;31.4910° N, 120.3124° E;2014-06-07;2014-12-05;
Hong Kong;Hong Kong;22.3193° N, 114.1694° E;2014-12-05;2014-12-07;
China;Wuxi;31.4910° N, 120.3124° E;2014-12-07;2015-06-08;
Türkiye;Istanbul;41.0082° N, 28.9784° E;2015-06-08;2015-06-13;
China;Wuxi;31.4910° N, 120.3124° E;2015-06-13;2015-08-18;
United States;San Francisco;37.7749° N, 122.4194° W;2015-08-18;2015-08-19;
United States;Pittsburgh;40.4387° N, 79.9972° W;2015-08-19;2015-11-25;
United States;New York;40.7128° N, 74.0060° W;2015-11-25;2015-11-29;
United States;Pittsburgh;40.4387° N, 79.9972° W;2015-11-29;2015-12-20;
United States;Chicago;41.8832° N, 87.6324° W;2015-12-20;2015-12-29;
United States;Madison;43.0722° N, 89.4008° W;2015-12-29;2015-12-29;
United States;Chicago;41.8832° N, 87.6324° W;2015-12-29;2016-01-01;
United States;Gary;41.6020° N, 87.3372° W;2016-01-01;2016-01-01;
United States;Michigan City;41.7075° N, 86.8950° W;2016-01-01;2016-01-01;
United States;Indianapolis;39.7691° N, 86.1580° W;2016-01-02;2016-01-02;
United States;Chicago;41.8832° N, 87.6324° W;2016-01-02;2016-01-04;
United States;Milwaukee;43.0410° N, 87.9097° W;2016-01-04;2016-01-04;
United States;Pittsburgh;40.4387° N, 79.9972° W;2016-01-04;2016-03-04;
Canada;Toronto;43.6548° N, 79.3884° W;2016-03-04;2016-03-09;
Canada;Niagara Falls;43.0896° N, 79.0849° W;2016-03-09;2016-03-09;
United States;Niagara Falls;43.0962° N, 79.0377° W;2016-03-09;2016-03-09;
United States;Buffalo;42.8869° N, 78.8789° W;2016-03-09;2016-03-10;
United States;Rochester;43.1566° N, 77.6088° W;2016-03-10;2016-03-11;
United States;Corning;42.1429° N, 77.0547° W;2016-03-11;2016-03-11;
United States;Syracuse;43.0495° N, 76.1474° W;2016-03-11;2016-03-12;
Canada;Toronto;43.6548° N, 79.3884° W;2016-03-13;2016-03-13;
United States;Pittsburgh;40.4387° N, 79.9972° W;2016-03-13;2016-05-01;
United States;Columbus;39.9625° N, 83.0032° W;2016-05-01;2016-05-03;
United States;Pittsburgh;40.4387° N, 79.9972° W;2016-05-03;2016-05-04;
Canada;Québec City;46.8131° N, 71.2075° W;2016-05-04;2016-05-08;
Canada;Montreal;45.5019° N, 73.5674° W;2016-05-08;2016-05-12;
Canada;Ottawa;45.4201° N, 75.7003° W;2016-05-12;2016-05-15;
United States;Pittsburgh;40.4387° N, 79.9972° W;2016-05-15;2016-06-25;
Dominican Republic;Santo Domingo;18.4626° N, 69.9361° W;2016-06-25;2016-06-27;
Cuba;Havana;23.1339° N, 82.3586° W;2016-06-27;2016-07-02;
Mexico;Mexico City;19.4326° N, 99.1332° W;2016-07-02;2016-07-05;
United States;Los Angeles;34.0549° N, 118.2426° W;2016-07-05;2016-07-06;
China;Shanghai;31.2304° N, 121.4737° E;2016-07-07;2016-07-08;
China;Wuxi;31.4910° N, 120.3124° E;2016-07-08;2016-07-27;
China;Nanjing;32.0584° N, 118.7965° E;2016-07-27;2016-08-01;
Russian Federation;Moscow;55.7569° N, 37.6151° E;2016-08-01;2016-08-08;
Russian Federation;Kazan;55.7879° N, 49.1233° E;2016-08-08;2016-08-12;
Russian Federation;Saint Petersburg;59.9311° N, 30.3609° E;2016-08-12;2016-08-17;
China;Shanghai;31.2304° N, 121.4737° E;2016-08-17;2016-08-18;
China;Wuxi;31.4910° N, 120.3124° E;2016-08-18;2016-08-25;
United States;Los Angeles;34.0549° N, 118.2426° W;2016-08-25;2016-08-26;
United States;Pittsburgh;40.4387° N, 79.9972° W;2016-08-26;2016-10-16;
United States;New York;40.7128° N, 74.0060° W;2016-10-16;2016-10-17;
United States;Pittsburgh;40.4387° N, 79.9972° W;2016-10-17;2016-11-23;
United States;Boston;42.3555° N, 71.0565° W;2016-11-23;2016-11-26;
United States;Pittsburgh;40.4387° N, 79.9972° W;2016-11-26;2016-12-16;
